cat,label,review
书籍,1,做父母一定要有刘墉这样的心态，不断地学习，不断地进步，不断地给自己补充新鲜血液，让自己保持一颗年轻的心。我想，这是他能很好的和孩子沟通的一个重要因素。读刘墉的文章，总能让我看到一个快乐的平易近人的父亲，他始终站在和孩子同样的高度，给孩子创造着一个充满爱和自由的生活环境。很喜欢刘墉在字里行间流露出的做父母的那种小狡黠，让人总是忍俊不禁，父母和子女之间有时候也是一种战斗，武力争斗过于低级了，智力较量才更有趣味。所以，做父母的得加把劲了，老思想老观念注定会一败涂地，生命不息，学习不止。家庭教育，真的是乐在其中。
书籍,1,作者真有英国人严谨的风格，提出观点、进行论述论证，尽管本人对物理学了解不深，但是仍然能感受到真理的火花。整本书的结构颇有特点，从当时（本书写于八十年代）流行的计算机话题引入，再用数学、物理学、宇宙学做必要的铺垫——这些内容占据了大部分篇幅，最后回到关键问题：电脑能不能代替人脑。和现在流行的观点相反，作者认为人的某种“洞察”是不能被算法模拟的。也许作者想说，人的灵魂是无可取代的。
书籍,1,作者长篇大论借用详细报告数据处理工作和计算结果支持其新观点。为什么荷兰曾经县有欧洲最高的生产率？为什么在文化上有着深刻纽带关系的中国和日本却在经济发展上有着极大的差异？为什么英国的北美殖民地造就了经济强大的美国，而西班牙的北美殖民却造就了范后的墨西哥？……很有价值，但不包括【中国近代史专业】。
书籍,1,作者在战几时之前用了＂拥抱＂令人叫绝．日本如果没有战败，就有会有美军的占领，没胡官僚主义的延续，没有战后的民发反思，没有～，就不会让日本成为一个经济强国．当然，美国人也给日本人带来了耻辱．对日中关系也造成了深远的影响．文中揭露了＂东京审判＂中很多鲜为人知的东西．让人惊醒．唉！中国人民对日本的了解是不是太少了．
书籍,1,作者在少年时即喜阅读，能看出他精读了无数经典，因而他有一个庞大的内心世界。他的作品最难能可贵的有两点，一是他的理科知识不错，虽不能媲及罗素，但与理科知识很差的作家相比，他的文章可读性要强；其二是他人格和文风的朴实，不造作，不买弄，让人喜欢。读他的作品，犹如听一个好友和你谈心，常常唤起心中的强烈的共鸣。他的作品90年后的更好些。衷心祝愿周国平健康快乐，为世人写出更多好作品。
书籍,1,作者有一种专业的谨慎，若能有幸学习原版也许会更好，简体版的书中的印刷错误比较多，影响学者理解，全书结构简单，但内容详实，学起来如鱼得水非常轻松。这只是一项技术而已，若可以结合本专业，将会得到更高的学习快乐，家财万贯不如一技在身，一技在身不如一念在心，本书有不仅有技，而且有念。书中佳品。
书籍,1,作者用诗一样的语言把如水般清澈透明的思想娓娓道来，像一个经验丰富的智慧老人为我们解开一个又一个人生的难题，让我们超越自发的自己和世俗的观念，引导着我们走向光明、理性的彼岸。尤其让人惊叹的是，在那样早的年代，作者对一些心理问题居然有那样深的体会，对一些人生问题能够分析得那样的深刻透彻！确实是非常难能可贵的！较之前一本罗马皇帝的《沉思录》不知要高明多少倍，直如天壤之别！
书籍,1,作者提出了一种工作和生活的方式，作为咨询界的元老，不仅能提出理念，而且能够身体力行地实践，并且提出具体的步骤，展现的是一种自然的生活态度，一种劳役结合、张弛有度的生活方式。作者提出的观点引入了欧美人乐观的生活方式，并且结合现在日本的社会状况和生存环境，提出了一种切实可行的生活历程，其实这些观点同样也适用于现在正在步日本后尘的中国人，会玩才会幸福。
书籍,1,作者妙语连珠，将整个60-70年代用层出不穷的摇滚巨星与自身故事紧紧相连什么是乡愁？什么是摇滚？那是一种特立独行看似高傲实则温暖的姿态那是一种绝世独立下深深的孤单与不甘文字和音乐当两种忧愁相互碰撞的时候才会激起读者心中的相同感受，无论何时，世界在变，我们的偶像在慢慢老去那个曾经年华不老的时代已然飘去。于是摇滚，成了最让人痛彻心扉的蓝调
书籍,1,作者逻辑严密，一气呵成。没有一句废话，深入浅出，循循善诱，环环相扣。让平日里看到指标图释就头疼的我竟然大有拨云见日，醍醐灌顶之感。果不出所料，占豪的黄金游戏，值得期待！
书籍,1,作者力从马克思注意经济学角度来剖析当代中国经济细心的人会发现中国近20年来的一些政策措施在何新先生的文章里找到蛛丝马迹作者早在2001年就预言十年内世界会爆发大规模金融危机这非常难得原因来自与作者本人的数据统计及其严密的逻辑推理能与国家发展大计作为自己重任的知识分子现在并不多见了看看那些上市公司的独立懂事就知道了我认为何先生是了不起的知识分子
书籍,1,作者结合希尔和卡耐基、汪中求等大师的一些观点，结合中国的实际情况，给渴望成功的青年指出一条实实在在的路。我也看过不少成功学著作，只有这本书的作者是企业家，感觉他说得比较实在，其实我们也不指望成功就一定要和比尔盖茨比，能实现自己的小小梦想就行。如果说希尔等人的著作是习武的总纲，还需要你研究推敲一下，那这本书就是本武林秘笈，你只要照着练就行了，至于成龙成虫，就看你练得如何。
书籍,1,作者更多的是从圆圆母亲的角度来写这个文章。90%的例子都是以圆圆为中心的。我认为，例证不够充分，毕竟每个孩子都很不一样，而且很明显，虽然作者一再强调是教育的原因，但不可否认，圆圆的聪明和乖巧也是有目共睹的。换个男孩，肯定是没有这么轻松的。总的来说，作者列举的都是一些生活中的例子，确实很有代表性，教育方向及思路非常明确，应该学习！！一个好妈妈的教育笔记，可以推荐给家中迂腐的老人。
书籍,1,作者对于某些电影“表面粗糙”、“内里光滑”的分析，可谓入木三分，为理解那些貌似触及现实而又让人觉得哪里不对劲的影片提供了一个清醒的视角。这个角度在导演来说也许是讳莫如深的，也许是不自觉的。而不管是回避还是无意识，这种对于现状的屈服都是有害于艺术真诚的，或者他们所做本来就与艺术无关。
书籍,1,作者的理念很好，主要是看一个公司的内部情况来决定股票的情况。操作比较难，作者也承认，所以他说还是让基金经理来做书中的事情吧。对我启发不是在于买股票，而且如何做企业，如何培养员工；我想刚毕业找工作的学生应该看看，你到底应该区一个什么样的企业工作；以后会当老板的，也应该看看，如何对待员工，如何对待企业等等。作为股票类的书，我觉得应该是三星；但它给了我其它方面的启发，所以加了一个星。
书籍,1,作者的观点独特，语言犀利，深刻的总结了男人与女人之间的是非恩怨，把男人与女人在生活中积累的宿怨一语道破---原来非本质问题，而是双方本能。此书不足之处乃后面章节雷同，越看越有寡味之感，但是还是要感谢作者带我们游览一次男人、女人的本能世界！呵呵，建议读者可以看一看，有则改之，无则加勉！！
书籍,1,作者的笔触很真实 将一个不忠却又深爱自己妻子的丈夫形象毫无遮掩的展示给读者 而什么是真爱 什么是灵魂的永远缠绕相守 是看过这本书的人不得不思考的问题在这本书中 了解了生命将逝却无能为力所承受的艰辛 对安乐死也有些了解最后章节的那句我们已经不再相信坏运气了，坏运气不存在，运气不存在。相信运气是对生命的侮辱。多么坚韧的人性之美。
